iter	PRAUC	Logloss
0	0.8575626959	0.6041565272
1	0.8636067278	0.5317665841
2	0.8904714336	0.4703461888
3	0.899058542	0.4364657105
4	0.9146960698	0.4124128592
5	0.9315895718	0.3812509031
6	0.9340409636	0.3678968156
7	0.9349525464	0.3623690132
8	0.9453171534	0.3482458563
9	0.9490237612	0.341453106
10	0.9519537958	0.3358517353
11	0.9520232456	0.3304974441
12	0.9566446619	0.3196163617
13	0.9594040855	0.3093289094
14	0.9612399797	0.2960347427
15	0.963815382	0.2883895239
16	0.9677228376	0.2791609167
17	0.9692899637	0.2699712741
18	0.9712402808	0.2646557682
19	0.9722674212	0.2552016786
20	0.9744592989	0.2495444583
21	0.9748899527	0.2432924021
22	0.9750256742	0.2369925497
23	0.9763951804	0.231130058
24	0.9772236738	0.2271189298
25	0.9795850767	0.218152963
26	0.9797532279	0.2132198908
27	0.9806091172	0.2091665446
28	0.981259421	0.2067562284
29	0.9824477649	0.2012383986
30	0.9849552634	0.1951808853
31	0.9857726945	0.1918012927
32	0.9852744683	0.1904926564
33	0.9857877513	0.1875460938
34	0.9872617891	0.181409954
35	0.9874340157	0.1774014146
36	0.9888794896	0.1708917654
37	0.9893438271	0.1682246818
38	0.9897126432	0.1634871953
39	0.989858215	0.160882324
40	0.9908280395	0.1525339754
41	0.9913966105	0.1492260859
42	0.9925672574	0.1441036418
43	0.992253164	0.1398901714
44	0.9929640654	0.1365888173
45	0.9935870039	0.1331531412
46	0.9938465126	0.1309076894
47	0.9941360522	0.129215865
48	0.9944256568	0.1267679394
49	0.9949041811	0.1238254235
50	0.9958463947	0.119296585
51	0.9962079118	0.115972578
52	0.9965093269	0.1117501275
53	0.997007228	0.1091254983
54	0.9972298187	0.1074727446
55	0.9972185463	0.1073326733
56	0.9972185463	0.1072022568
57	0.9970836804	0.1051830087
58	0.9974423052	0.1021483285
59	0.9981105159	0.09774899432
60	0.9984769589	0.09467551114
61	0.9985953075	0.09267893851
62	0.998496153	0.09115641726
63	0.9987142355	0.08825678108
64	0.9989271437	0.08573283329
65	0.9992700995	0.08260248956
66	0.9995041599	0.08032857716
67	0.9993987149	0.07923508926
68	0.9994962771	0.07644994744
69	0.9993787083	0.07493515193
70	0.9995972888	0.07268489783
71	0.9996348548	0.07157168406
72	0.9997278885	0.07035124562
73	0.9998863394	0.06859044339
74	0.9998863394	0.06743341849
75	0.9999277328	0.06569204913
76	0.9999797043	0.06392814037
77	0.9999797043	0.0622418146
78	1	0.06052988817
79	0.9999797043	0.05983120469
80	1	0.05725038404
81	1	0.0556648022
82	1	0.05447242817
83	1	0.05341396768
84	1	0.05124587755
85	1	0.05025185283
