iter	Passed	Remaining
0	2	5996
1	6	6735
2	10	7229
3	15	7757
4	20	8133
5	24	8155
6	28	8050
7	32	8215
8	38	8408
9	40	8129
10	45	8223
11	50	8314
12	52	8086
13	56	8081
14	62	8221
15	64	7998
16	68	8004
17	71	7876
18	75	7868
19	78	7796
20	81	7700
21	84	7621
22	89	7678
23	91	7573
24	95	7554
25	97	7399
26	100	7350
27	104	7369
28	107	7337
29	111	7311
30	114	7294
31	118	7279
32	121	7239
33	124	7195
34	127	7163
35	130	7110
36	133	7063
37	135	6998
38	137	6935
39	140	6862
40	142	6791
41	144	6723
42	146	6669
43	148	6604
44	150	6534
45	152	6478
46	154	6421
47	156	6371
48	158	6317
49	160	6258
50	162	6202
51	164	6152
52	166	6103
53	167	6052
54	170	6012
55	171	5965
56	173	5920
57	175	5877
58	177	5829
59	178	5784
60	180	5742
61	182	5714
62	185	5692
63	187	5657
64	188	5621
65	190	5584
66	192	5551
67	194	5518
68	196	5487
69	198	5465
70	199	5432
71	201	5399
72	203	5377
73	205	5348
74	207	5319
75	209	5291
76	210	5265
77	212	5243
78	214	5216
79	216	5187
80	217	5161
81	219	5140
82	221	5115
83	223	5097
84	225	5071
85	227	5055
